STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,2,Vòng,10c114,10c104,,,,,,,,,
2,610,Xi 2-3 màu,1,Mặt,5p24,5p18,,,,,,,,,
3,610,Xi 2-3 màu,1,Dây,2c688,2c668,,,,,,,,,
4,610,Xi 2-3 màu,1,Kiềng,4c986,4c972,,,,,,,,,
5,610,Xi 2-3 màu,5,Lắc,7c194,7c15,,,,,,,,,
6,610,Xi trắng,1,Lắc,7p56,7p54,,,,,,,,,
7,610,Xi trắng,1,Dây,2c548,2c532,,,,,,,,,
8,610,Xi trắng,1,Bông,5p64,5p6,,,,,,,,,
9,750,Xi trắng,2,Nhẫn cưới xoàn,1c842,1c808,,,,,,,,,
10,Ý,Xi trắng,2,Kiềng,8c964,8c944,,,,,,,,,
11,Ý,Xi trắng,2,Vòng,11c066,11c026,,,,,,,,,
12,Ý,Xi trắng,6,Lắc,7c52,7c482,,,,,,,,,
13,Ý,Xi trắng,19,Mặt,15c958,15c912,,,,,,,,,
14,Ý,Xi trắng,27,Nhẫn,29c656,29c274,,,,,,,,,
15,Ý,Xi trắng,31,Bông,19c934,19c692,,,,,,,,,
16,Ý,Xi trắng,17,Dây,29c698,29c578,,,,,,,,,
17,416,Xi trắng,2,Vòng,3c644,3c61,,,,,,,,,
18,416,Xi trắng,7,Lắc,8c546,8c524,,,,,,,,,
19,416,Xi trắng,19,Mặt,7c368,7c354,,,,,,,,,
20,416,Xi trắng,25,Nhẫn,32c86,32c462,,,,,,,,,
21,416,Xi trắng,22,Bông,9c652,9c586,,,,,,,,,
22,416,Xi trắng,11,Dây,15c032,14c986,,,,,,,,,
